,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
1,Belagavi,Chikodi,"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",,,,,,,,"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",16.4238624,74.5820851
2,Belagavi,Athani,"Mini Vidhana Soudha, SH 12, Shivayogi Nagar, Athani, Karnataka 591304, India",,,,,,,,"Mini Vidhana Soudha, SH 12, Shivayogi Nagar, Athani, Karnataka 591304, India",16.7330633,75.0894486
3,Belagavi,Raibag,"FQRH+V87, Belgaum District, Raibag, Karnataka 591317, India",,,,,,,,"FQRH+V87, Belgaum District, Raibag, Karnataka 591317, India",16.4921625,74.7782969
4,Belagavi,Gokak,"5R8C+F2 Gokak, Karnataka, India",,,,,,,,"5R8C+F2 Gokak, Karnataka, India",16.1661875,74.8200625
5,Belagavi,Hukkeri,"6JQ2+VQ6, Hukkeri, Karnataka 591309, India",,,,,,,,"6JQ2+VQ6, Hukkeri, Karnataka 591309, India",16.2396625,74.6018906
6,Belagavi,Belagavi,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",,,,,,,,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",15.5820528,74.5169239
7,Belagavi,Khanapur,"JGQ4+68R, Mini Vidhansouda, Belgaum, Goa Road, Khanapur, Karnataka 591302, India",,,,,,,,"JGQ4+68R, Mini Vidhansouda, Belgaum, Goa Road, Khanapur, Karnataka 591302, India",15.6406634,74.5170319
8,Belagavi,Savadatti,"Q458+84P, Savadatti Yallamma, Karnataka 591126, India",,,,,,,,"Q458+84P, Savadatti Yallamma, Karnataka 591126, India",15.7583375,75.1153281
9,Belagavi,Bailhongal,"RV96+FV6, Bailhongal, Karnataka 591102, India",,,,,,,,"RV96+FV6, Bailhongal, Karnataka 591102, India",15.8186625,74.8621406
10,Belagavi,Ramdurg,"W7XV+8GQ, Ramdurg, Karnataka 591123, India",,,,,,,,"W7XV+8GQ, Ramdurg, Karnataka 591123, India",15.9483375,75.2938594
11,Belagavi,Kittur,"HQWR+WH7, Kittur, Karnataka 591115, India",,,,,,,,"HQWR+WH7, Kittur, Karnataka 591115, India",15.5972875,74.7914219
12,Belagavi,Nippani,"Tarle Petrol Pump, Old Pune Bangalore Rd, Nipani, Karnataka 591237, India",,,,,,,,"Tarle Petrol Pump, Old Pune Bangalore Rd, Nipani, Karnataka 591237, India",16.397263,74.3805477
13,Belagavi,Mudalagi,"8XQ4+HCW, Mudalagi, Karnataka 591312, India",,,,,,,,"8XQ4+HCW, Mudalagi, Karnataka 591312, India",16.3389875,74.9560781
14,Belagavi,Yaragatti,"X28C+HH3, Yaragatti, Karnataka 591129, India",,,,,,,,"X28C+HH3, Yaragatti, Karnataka 591129, India",15.9663875,75.0214219
15,Bagalkot,Jamkhandi,"Court Rd,Jamkhandi, Karnataka 587301,India",,,,,,,,"Court Rd,Jamkhandi, Karnataka 587301,India",16.5054538,75.2924059
16,Bagalkot,Bilagi,"8JW7+CXC, Bilgi, Karnataka 587116, India",,,,,,,,"8JW7+CXC, Bilgi, Karnataka 587116, India",16.3460625,75.6148906
17,Bagalkot,Mudhol,"Govindpur Road, opposite Police Station, Mudhol, Karnataka 587313, India",,,,,,,,"Govindpur Road, opposite Police Station, Mudhol, Karnataka 587313, India",16.3295871,75.2850096
18,Bagalkot,Badami,"WM8G+RW4, Badami, Karnataka 587201, India",,,,,,,,"WM8G+RW4, Badami, Karnataka 587201, India",15.9170125,75.6773281
19,Bagalkot,Bagalkote,"5M59+F77, Sector 22, Nava Nagar, Bagalkote, Karnataka 587103, India",,,,,,,,"5M59+F77, Sector 22, Nava Nagar, Bagalkote, Karnataka 587103, India",16.1586625,75.6681719
20,Bagalkot,Hungund,"3386+43P, Hungund, Karnataka 587118, India",,,,,,,,"3386+43P, Hungund, Karnataka 587118, India",16.0653375,76.0602031
21,Bagalkot,Guledagudda,"2QXP+Q9X, Guledagudda, Karnataka 587203, India",,,,,,,,"2QXP+Q9X, Guledagudda, Karnataka 587203, India",16.0494875,75.7859844
22,Bagalkot,Ilkal,"X468+M23, Ilkal, Karnataka 587125, India",,,,,,,,"X468+M23, Ilkal, Karnataka 587125, India",15.9616375,76.1150469
