Tech_ID,Depot_Assigned,Years of Exp,SkillSet,Rate per hour
T1,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",4,Equipment installation,Rs.500
T2,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T3,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T4,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T5,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T6,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",2,Equipment installation,Rs.500
T7,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585359",5,"Equipment Installation, Low Voltage Repair",Rs.750
T8,"22FC+555, Kunigal, Karnataka 572130, India",3,Equipment installation,Rs.500
T9,"8XQ4+HCW, Mudalagi, Karnataka 591312, India",3,Equipment installation,Rs.500
T10,"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",4,Equipment installation,Rs.500
T11,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T12,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T13,"JGQ4+68R, Mini Vidhansouda, Belgaum, Goa Road, Khanapur, Karnataka 591302, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T14,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T15,"233X+7WG, BM Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India",4,Equipment installation,Rs.500
T16,"Court Rd,Jamkhandi, Karnataka 587301,India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T17,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T18,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T19,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T20,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585309",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T21,"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",1,Equipment installation,Rs.500
T22,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T23,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T24,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T25,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T26,"JM35+VJP, Karatagi, Karnataka 583229, India",2,Equipment installation,Rs.500
T27,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T28,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T29,"Block 3, Electronics City Phase 1, Electronic City, B-103, 2nd Cross Road, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560240",2,Equipment installation,Rs.500
T30,"8QJ8+2J5, Haliyal, Karnataka 581329, India",4,Equipment installation,Rs.500
T31,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",2,Equipment installation,Rs.500
T32,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T33,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T34,"X63F+PJR, Magadi Rural, Karnataka 562120, India",2,Equipment installation,Rs.500
T35,"HRWX+RQV, Somwarpet, Karnataka 571236, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T36,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585511",6,"Equipment Installation, Low Voltage Repair",Rs.750
T37,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",3,Equipment installation,Rs.500
T38,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T39,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T40,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T41,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T42,"JVPV+G7J, Siruguppa, Karnataka 583121, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T43,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T44,"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",3,Equipment installation,Rs.500
T45,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",1,Equipment installation,Rs.500
T46,"RPJ5+46G, Near Shivaji Chowk, Shahu Nagar, Vijayapura, Karnataka 586116",2,Equipment installation,Rs.500
T47,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T48,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T49,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",1,Equipment installation,Rs.500
T50,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585312",1,Equipment installation,Rs.500
T51,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T52,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T53,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T54,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T55,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T56,"88, Borewell Rd, Palm Meadows, Dodsworth Layout, Whitefield, Bengaluru, Karnataka 560180",3,Equipment installation,Rs.500
T57,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T58,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T59,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585529",5,"Equipment Installation, Low Voltage Repair",Rs.750
T60,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585114",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T61,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585296",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T62,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",4,Equipment installation,Rs.500
T63,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T64,"GX2Q+FVF, Dyampur, Karnataka 583247",3,Equipment installation,Rs.500
T65,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",1,Equipment installation,Rs.500
T66,"P79G+CCC, Ijoor, Ramanagara, Karnataka 562159, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T67,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585378",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T68,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585545",1,Equipment installation,Rs.500
T69,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",3,Equipment installation,Rs.500
T70,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",2,Equipment installation,Rs.500
T71,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T72,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",2,Equipment installation,Rs.500
T73,"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T74,"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",1,Equipment installation,Rs.500
T75,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T76,"HQWR+WH7, Kittur, Karnataka 591115, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T77,"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T78,"R46H+XGW, Kodibag, Karwar, Karnataka 581301, India",1,Equipment installation,Rs.500
T79,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585258",2,Equipment installation,Rs.500
T80,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T81,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",2,Equipment installation,Rs.500
T82,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",1,Equipment installation,Rs.500
T83,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",6,"Equipment Installation, Low Voltage Repair",Rs.750
T84,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",1,Equipment installation,Rs.500
T85,"8M77+322, Nazarbad, Mysuru, Karnataka 570010, India",4,Equipment installation,Rs.500
T86,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",2,Equipment installation,Rs.500
T87,"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",8,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T88,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585539",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T89,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",3,Equipment installation,Rs.500
T90,"5RX2+33F, Court Rd, Virajpet, Karnataka 571218, India",4,Equipment installation,Rs.500
T91,"PFW7+522, Kadaba-Subrahmanya Rd, Kadaba, Karnataka 574221, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T92,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",2,Equipment installation,Rs.500
T93,"XHV2+982, Belalkanda, Bhatkal, Karnataka 581320, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T94,"3P7R+2CC, Bommenahalli, Sivas Rd, Bengaluru, Karnataka 560049, India",5,"Equipment Installation, Low Voltage Repair",Rs.750
T95,"WF7P+FRV, bmtc bus station, Kengeri, Bengaluru, Karnataka 560026, India",3,Equipment installation,Rs.500
T96,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585558",6,"Equipment Installation, Low Voltage Repair",Rs.750
T97,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",7,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T98,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",4,Equipment installation,Rs.500
T99,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
T100,"9/1, 19th Main Rd, 2nd Stage, Nagapura, Bengaluru, Karnataka 560010, India",9,"Equipment Installation, Low Voltage Repair, High Voltage Repair",Rs.1000
