google Maps Location,Latitude,Longitude
"Indira Nagar Rd, Indira Nagar, Chikodi, Karnataka 591201, India",16.4238624,74.5820851
"Mini Vidhana Soudha, SH 12, Shivayogi Nagar, Athani, Karnataka 591304, India",16.7330633,75.0894486
"FQRH+V87, Belgaum District, Raibag, Karnataka 591317, India",16.4921625,74.7782969
"5R8C+F2 Gokak, Karnataka, India",16.1661875,74.8200625
"6JQ2+VQ6, Hukkeri, Karnataka 591309, India",16.2396625,74.6018906
"VG86+HWR, NH 4A, Khade Bazar, Raviwar Peth, Belagavi, Karnataka 590001, India",15.5820528,74.5169239
"JGQ4+68R, Mini Vidhansouda, Belgaum, Goa Road, Khanapur, Karnataka 591302, India",15.6406634,74.5170319
"Q458+84P, Savadatti Yallamma, Karnataka 591126, India",15.7583375,75.1153281
"RV96+FV6, Bailhongal, Karnataka 591102, India",15.8186625,74.8621406
"W7XV+8GQ, Ramdurg, Karnataka 591123, India",15.9483375,75.2938594
"HQWR+WH7, Kittur, Karnataka 591115, India",15.5972875,74.7914219
"Tarle Petrol Pump, Old Pune Bangalore Rd, Nipani, Karnataka 591237, India",16.397263,74.3805477
"8XQ4+HCW, Mudalagi, Karnataka 591312, India",16.3389875,74.9560781
"X28C+HH3, Yaragatti, Karnataka 591129, India",15.9663875,75.0214219
"Court Rd,Jamkhandi, Karnataka 587301,India",16.5054538,75.2924059
"8JW7+CXC, Bilgi, Karnataka 587116, India",16.3460625,75.6148906
"Govindpur Road, opposite Police Station, Mudhol, Karnataka 587313, India",16.3295871,75.2850096
"WM8G+RW4, Badami, Karnataka 587201, India",15.9170125,75.6773281
"5M59+F77, Sector 22, Nava Nagar, Bagalkote, Karnataka 587103, India",16.1586625,75.6681719
"3386+43P, Hungund, Karnataka 587118, India",16.0653375,76.0602031
"2QXP+Q9X, Guledagudda, Karnataka 587203, India",16.0494875,75.7859844
"X468+M23, Ilkal, Karnataka 587125, India",15.9616375,76.1150469
"RPJ5+46G, Near Shivaji Chowk, Shahu Nagar, Vijayapura, Karnataka 586101",16.8288,75.71778
"W6FM+JP8, HANIF CHATTARKI Rd, Sindagi, Karnataka 586128, India",16.9249603,76.2343913
"HXCM+JJF, Basavana Bagewadi, Karnataka 586203, India",16.5715625,75.9840469
"84PH+GV4, Muddebihal, Karnataka 586212, India",16.3362625,76.1297031
"RPJ5+46G, Near Shivaji Chowk, Shahu Nagar, Vijayapura, Karnataka 586101, India",16.8301229,75.7105151
"F8F3+3X, Talikoti Rural, Karnataka 586214, India",16.4726875,76.3049375
"RGQC+4MX, kotyal road, Tikota, Karnataka 586130, India",16.7832572,75.4912717
"MAIN ROAD, KOLHAR BASAVAN BAGEWADI, TALUK, Vijayapura, Karnataka 586210",16.5681108,75.9753516
"RPF9+V4C, Gopalpur Galli, Vijayapura, Karnataka 586101, India",16.8246875,75.7177656
"HHC8+7R5, Aland, Karnataka 585302, India",17.5706375,76.5671094
"VKG Nagar, Gulbarga, SH-22, Sindagi Kalaburagi Road, Afzalpur, Afzalpur, Karnataka 585301, India",17.1907209,76.3417286
"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585102",17.3185625,76.8319531
"FC79+99R, Chincholi, Karnataka 585307, India",17.4634875,77.4183906
"57HJ+MW7, Main Road, Sedam, Karnataka 585222, India",17.18885,77.20725
"2Q4F+6G4, Jevargi, Karnataka 585310, India",17.0055125,76.7738281
"9563+4P2, Kalgi, Karnataka 585324, India",17.3602625,77.1542656
"HXQR+Q7, Kamalapur, Karnataka 585313, India",17.5894375,76.9906875
"VJWJ+6PR, Jewargi to Yadrami Main Road, Alur, Karnataka 585325, India",16.8983827,76.5224546
"4WFR+3C7, Railway Station Area, Shahabad, Karnataka 585228, India",17.1226625,76.9410469
"VW7X+P7W, Basavakalyan,, Jai Shankar Colony, Basavakalyan, Karnataka 585327, India",17.8643625,76.9482031
"3628+RQV, Bhalki, Karnataka 585328, India",18.0521125,77.2169219
"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",18.2505625,77.4122031
"District Court, Nandi Colony, Bidar, Karnataka 585401, India",17.9133564,77.5181885
"Q4CH+36M, Humnabad, Karnataka 585330, India",17.7702125,77.1280469
"Devadurga, Shantinagar, Raichur, SH-15, Shahapur Devadurga Road, Devadurg, Devadurg, Karnataka 584111, India",16.4191062,76.9255487
"683X+27Q, Androon Quilla, Raichur, Karnataka 584101, India",16.2025875,77.3482344
"X2XR+CW6, Manvi, Karnataka 584123, India",15.9985375,77.0422656
"QQ94+Q6F, Taluk panchayat, Sindhanur, Karnataka 584128, India",15.7694475,76.7555543
"WMV4+7WC, Maski, Karnataka 584124, India",15.9431875,76.6572656
"Post office, Sirwar, Karnataka 584129, India",16.1749412,77.0269884
"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",15.6365032,76.0236569
"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",15.7545483,76.1928246
"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",15.4390387,76.5266738
"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",15.3527159,76.1566359
"JM35+VJP, Karatagi, Karnataka 583229, India",15.6047125,76.6590781
"GX2Q+FVF, Dyampur, Karnataka 583232",15.5011875,75.9896719
"HCCC+74Q, Kanakagiri, Karnataka 583283, India",15.5707125,76.4203594
"P9GH+4HJ, Unnamed Road, Nargund, Karnataka 582207, India",15.73694,75.3531
"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",15.4318543,75.6334639
"6HPM+Q86, near:police station Shirahatti. dist:, Shirahatti, Karnataka, India",15.2324,75.579
"6V6M+4MV, Arabhavi - Challakere Rd, Laxmi chalapati Nagar, Mundargi, Karnataka 582118, India",15.211069,75.8824346
"PXQG+6GW, Gajendragad, Karnataka 582114, India",15.7381125,75.9763281
"4F98+GVG, Laxmeshwar, Karnataka 582116, India",15.1188125,75.4672031
"F234+6PQ, Railway Station Rd, UB Hills, Malmaddi, Dharwad, Karnataka 580001, India",15.4522611,75.0069548
"H955+2CQ, hubli solalapur road, Navalgund, Karnataka 582208, India",15.3683758,75.1703694
"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",15.3510081,75.1396707
"5XG9+XRH, Hubli - Karwar Rd, Kalaghatgi, Karnataka 581204, India",14.9496863,74.6942455
"765X+8HP, Kundgol, Karnataka 581113, India",15.2583375,75.2489531
"Mini Vidana Soundha, Ballari - Hubballi Rd, New Hubli, Hubballi, Karnataka 580020, India",15.3510081,75.1396707
"CPGQ+GJW, Alnavar, Karnataka 581103, India",15.4263625,74.7390781
"CCJM+5GV, Unnamed Road, Annigeri, Karnataka 582201, India",15.42452,75.44953
"R46H+XGW, Kodibag, Karwar, Karnataka 581301, India",14.8124875,74.1288281
"5F9M+F2G, Joida, Karnataka 581186, India",15.1686875,74.4825781
"8QJ8+2J5, Haliyal, Karnataka 581329, India",15.3300125,74.7666094
"XP65+GRX, Yellapur, Karnataka 581359, India",14.9613625,74.7096094
"X2FR+8FJ, TDB Road, Mundgod, Karnataka 581349, India",14.9725,75.0381
"JRCG+HH7, Sirsi, Karnataka 581401, India",14.6214125,74.8264219
"M854+W9M, Ankola, Karnataka 581314, India",14.6598375,74.3059219
"CCF8+8C6, Kumta, Karnataka 581343, India",14.4232875,74.4160156
"8VWV+3FQ, Siddapur Main Rd, Halgeri, Siddapur, Karnataka 581355, India",14.3452125,74.8937344
"7CJX+3HR, Honnavar, Karnataka 581334, India",14.2802375,74.4488906
"XHV2+982, Belalkanda, Bhatkal, Karnataka 581320, India",13.9933875,74.5507656
"X6MC+58Q, Shiggaon, Karnataka 581205, India",14.9829625,75.2208594
"X9J3+XMP, SH 6, Savanur Rural, Karnataka 581118, India",14.9755408,75.3324364
"Q4CF+9W3, Mini Vidhana Soudha,road, Hangal, Karnataka, India",16.2410359,74.6044193
"Q9QX+W4Q, PB Rd, Vidya Nagar, Haveri, Karnataka 581110, India",14.7949482,75.3954539
"MFHV+PJF, kakol Road,, Byadagi, Karnataka, India",14.6793729,75.496545
"F94Q+PCG, Hirekerur, Karnataka 581111, India",14.4568125,75.3885781
"JJCM+348, Station Rd, Vageesh Nagar, Ranebennur, Karnataka 581115, India",14.6236519,75.6334827
"CGF6+6J5, Rattihalli, Karnataka 581116",14.4230125,75.5116094
"JVPV+G7J, Siruguppa, Karnataka 583121, India",15.6363375,76.8931406
"4WV8+RWV, Fort Main Rd, Narayanappa Compound, Fort, Ballari, Karnataka 583104, India",15.1442566,76.9153835
"3GQR+CRW, LB Colony, Sandur, Karnataka 583119",15.0886125,76.5420781
"8RVM+GV8, Kurugodu, Karnataka 583116",15.3437875,76.8347031
"CJ44+289, Maruthi Nagar, Kampli, Karnataka 583132, India",15.4050375,76.6058594
"6CF3+Q9H, Maniyur, Chitradurga, Karnataka 577501, India",14.2244375,76.4034844
"GR84+4G6, PB Rd, New Bharampuri, Gandhi Nagar, Harihar, Karnataka 577601, India",14.5113707,75.8179404
"G88M+XCC, Jagalur, Karnataka 577528, India",14.5174375,76.3335156
"FW99+HFM, M B Kere, Jalinagar, Davanagere, Karnataka 577001, India",14.4689625,75.9186719
"6JQX+MFC, Honnali, Karnataka 577217, India",14.2391875,75.6486406
"2WFJ+F4Q, Channagiri, Karnataka 577213, India",14.0237125,75.9303594
"528F+823, Sagara, Karnataka 577401, India",14.1657625,75.0225469
"93JX+8WF, Soraba, Karnataka 577429",14.3808125,75.0997969
"7985+P42, Shikaripura, Shikaripur, Karnataka 577427, India",14.2667625,75.3577656
"W387+GR2, Hosanagar, Karnataka 577418, India",13.9162625,75.0645156
"M6RV+4Q3, Thirthahalli, Karnataka 577432, India",13.6902625,75.2444219
"WHPG+VH4, SH 25, Basavanagudi, Shivamogga, Karnataka 577201, India",13.940141,75.5811627
"VP23+JGF, Jai Bheem Nagar, Indira Nagar, Bhadravathi, Karnataka 577301, India",13.8515625,75.7037969
"JMPQ+MMP, Kundapura, Karnataka 576201, India",13.6367125,74.6892031
"8PVQ+4JV, Circuit House Rd, Bananje, Udupi, Karnataka 576101, India",13.3412685,74.7390159
"6XGJ+9G7, Karkala, Karnataka 574104, India",13.2259125,74.9812969
"6PMW+XFP, Kamala Mathu, Uliyargoli, Kaup, Karnataka 574106, India",13.2349625,74.7462031
"PR56+WXW, Near Railway Station, Tarikere, Karnataka 577228, India",11.24581,75.78312
"H236+3XX, Doddapete, Kadur, Karnataka 577548, India",13.5527375,76.0124844
